library,columns,predicate,late_materialization,selectivity,num_ios,total_bytes
PyArrow,img,(id >= 80000),False,0.2,27,4097377941
PyArrow,id,(id >= 82500),False,0.175,15,770813
PyArrow,vec,(id >= 82500),False,0.175,15,315495647
PyArrow,img,(id >= 82500),False,0.175,27,4097377941
PyArrow,id,(id >= 85000),False,0.15,15,770813
PyArrow,vec,(id >= 85000),False,0.15,15,315495647
PyArrow,img,(id >= 85000),False,0.15,27,4097377941
PyArrow,id,(id >= 87500),False,0.125,15,770813
PyArrow,vec,(id >= 87500),False,0.125,15,315495647
PyArrow,img,(id >= 87500),False,0.125,27,4097377941
PyArrow,id,(id >= 90000),False,0.1,15,770813
PyArrow,vec,(id >= 90000),False,0.1,15,315495647
PyArrow,img,(id >= 90000),False,0.1,27,4097377941
PyArrow,id,(id >= 92500),False,0.075,15,770813
PyArrow,vec,(id >= 92500),False,0.075,15,315495647
PyArrow,img,(id >= 92500),False,0.075,27,4097377941
PyArrow,id,(id >= 95000),False,0.05,15,770813
PyArrow,vec,(id >= 95000),False,0.05,15,315495647
PyArrow,img,(id >= 95000),False,0.05,27,4097377941
PyArrow,id,(id >= 97500),False,0.025,15,770813
PyArrow,vec,(id >= 97500),False,0.025,15,315495647
PyArrow,img,(id >= 97500),False,0.025,27,4097377941
DataFusion,id,id >= 0,False,1.0,32,609425
DataFusion,img,id >= 0,False,1.0,44,4097216553
DataFusion,id,id >= 2500,False,0.975,32,609425
DataFusion,img,id >= 2500,False,0.975,44,4097216553
DataFusion,id,id >= 5000,False,0.95,32,609425
DataFusion,img,id >= 5000,False,0.95,44,4097216553
DataFusion,id,id >= 7500,False,0.925,32,609425
DataFusion,img,id >= 7500,False,0.925,44,4097216553
DataFusion,id,id >= 10000,False,0.9,32,609425
DataFusion,img,id >= 10000,False,0.9,44,4097216553
DataFusion,id,id >= 12500,False,0.875,32,609425
DataFusion,img,id >= 12500,False,0.875,44,4097216553
DataFusion,id,id >= 15000,False,0.85,32,609425
DataFusion,img,id >= 15000,False,0.85,44,4097216553
DataFusion,id,id >= 17500,False,0.825,32,609425
DataFusion,img,id >= 17500,False,0.825,44,4097216553
DataFusion,id,id >= 20000,False,0.8,32,609425
DataFusion,img,id >= 20000,False,0.8,44,4097216553
DataFusion,id,id >= 22500,False,0.775,32,609425
DataFusion,img,id >= 22500,False,0.775,44,4097216553
DataFusion,id,id >= 25000,False,0.75,32,609425
DataFusion,img,id >= 25000,False,0.75,44,4097216553
DataFusion,id,id >= 27500,False,0.725,32,609425
DataFusion,img,id >= 27500,False,0.725,44,4097216553
